Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
693406,-324,328,17136,809,-496,-193,-607
693415,-324,856,17604,813,-500,-218,-599
693424,-284,592,17632,810,-468,-257,-600
693433,-224,368,16828,813,-560,-155,-557
693442,-208,448,17632,815,-503,-205,-593
693451,-88,228,17136,822,-542,-199,-591
693460,-120,452,17416,816,-580,-162,-598
693469,-8,268,16924,813,-524,-169,-603
693478,-404,288,17356,814,-487,-162,-626
693487,-212,332,16872,816,-413,-153,-622
693586,-152,308,17256,813,-551,-113,-710
693595,-128,404,17540,816,-511,-204,-720
693604,-188,276,17176,813,-480,-210,-747
693613,-220,452,17312,814,-443,-187,-700
693622,-224,488,17200,813,-475,-156,-686
693631,-300,304,17412,814,-451,-228,-700
693640,-264,476,17312,812,-406,-244,-709
693649,-160,196,17608,811,-430,-209,-663
693658,-116,324,17196,812,-488,-217,-658
693667,-104,244,17508,816,-396,-298,-721
693766,-104,188,16984,814,-303,-204,-646
693775,192,636,17188,814,-364,-86,-648
693784,-148,424,17168,808,-324,-105,-669
693793,-188,316,17180,814,-284,-113,-668
693802,64,404,17296,814,-347,-57,-654
693811,44,628,17060,813,-398,-31,-643
693820,152,524,17284,817,-351,-17,-650
693829,164,536,17148,816,-316,16,-637
693838,124,404,17248,815,-353,100,-610
693847,236,264,17148,812,-384,108,-615
693946,-128,368,17548,814,-348,321,-533
693955,-144,164,17484,812,-361,289,-515
693964,-64,412,17596,810,-329,266,-552
693973,-96,224,17576,807,-285,261,-569
693982,-264,396,17540,812,-323,340,-566
693991,-368,776,17472,810,-359,265,-560
694000,-80,172,17404,811,-236,249,-551
694009,-156,496,17724,812,-386,268,-525
694018,-68,744,17272,814,-304,283,-514
694027,-316,112,17828,815,-325,197,-501
694126,-144,204,17476,812,-355,110,-491
694135,-96,752,17400,813,-336,178,-471
694144,-240,-368,17312,811,-345,168,-501
694153,-52,376,17236,810,-322,163,-513
694162,76,128,17368,815,-270,208,-535
694171,-216,4,17276,818,-338,183,-512
694180,-40,232,17188,811,-278,180,-582
694189,-112,280,17512,812,-265,191,-547
694198,-260,284,17396,809,-350,224,-568
694207,-172,436,17336,811,-312,208,-570
694306,-212,252,17516,810,-271,253,-630
694315,-308,640,17328,813,-386,299,-588
694324,-292,520,17448,811,-340,265,-593
694333,-104,368,17252,809,-338,192,-610
694342,-236,480,17548,811,-338,193,-598
694351,-212,396,17480,813,-365,229,-584
694360,-236,176,17372,814,-342,181,-616
694369,-292,484,17704,812,-332,156,-638
694378,-396,464,17524,810,-291,174,-634
694387,-84,204,17652,813,-401,180,-651
694486,-276,580,17652,805,-334,26,-680
694495,-404,400,17732,813,-407,95,-686
694504,-416,448,17724,811,-435,-9,-703
694513,-220,444,17612,813,-370,-37,-679
694522,-312,412,17600,813,-433,12,-687
694531,-248,496,17644,815,-444,32,-661
694540,-272,316,17556,814,-416,-47,-694
694549,-48,304,17612,811,-404,-14,-706
694558,-268,152,17836,814,-474,12,-715
694567,-432,608,17524,815,-439,-48,-700
694666,-152,400,17700,809,-456,-42,-722
694675,-188,520,17612,810,-497,-12,-707
694684,-136,368,17456,809,-551,41,-668
694693,-212,224,17592,811,-492,-26,-693
694702,-188,340,17488,812,-510,-3,-673
694711,-172,364,17404,811,-530,43,-677
694720,-156,348,17644,810,-520,-19,-730
694729,-168,456,17572,813,-511,-22,-714
694738,-60,444,17464,809,-557,-18,-732
694747,-228,536,17452,810,-543,-46,-734
694846,-144,584,17444,810,-540,-109,-689
694855,-244,432,17400,815,-436,-107,-698
694864,-144,460,17328,810,-539,-61,-663
694873,-68,312,17256,812,-548,-48,-634
694882,-124,536,17244,811,-514,-108,-679
694891,-24,428,17084,813,-446,-75,-653
694900,-144,144,17080,813,-524,-47,-645
694909,-184,472,17148,811,-492,-80,-660
